,evidence,claim,QA,best answer,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Q6,A6,Q7,A7,explanation
265,"He is currently signed to WWE , where he performs on the SmackDown brand . Orton has held the WWE Championship nine times -LRB- eighth reign was as WWE World Heavyweight Champion -RRB- and WWE 's World Heavyweight Championship four times , and was the final holder of the World Heavyweight Championship , which he unified with the WWE Championship to become the WWE World Heavyweight Champion . Orton is a 13-time world champion . Before being promoted to the main World Wrestling Federation -LRB- WWF , now WWE -RRB- roster , Orton trained in and wrestled for Mid-Missouri Wrestling Association-Southern Illinois Conference Wrestling for a month . Orton is a third-generation professional wrestler ; his grandfather Bob Orton , Sr. , his father `` Cowboy '' Bob Orton , and his uncle Barry Orton all competed in the professional wrestling business . Randal Keith Orton -LRB- born April 1 , 1980 -RRB- is an American professional wrestler and actor . He was then sent to Ohio Valley Wrestling -LRB- OVW -RRB- , where he held the OVW Hardcore Championship twice . Orton became a member of the stable Evolution shortly after his WWE debut , which quickly led to an Intercontinental Championship reign , his first title with the company . He also acquired the moniker `` The Legend Killer '' during a storyline where he began disrespecting and then physically attacking WWE Hall of Famers and wrestling veterans . At age 24 , he became the youngest world champion in WWE history after he won the World Heavyweight Championship . In 2006 , Orton joined forces with Edge in a tag team known as Rated-RKO . After Rated-RKO disbanded in mid-2007 , Orton gained two WWE Championship reigns in one night , when at 27 he became the youngest two-time WWE Champion . It disbanded in 2010 and Orton returned to singles competition . In late 2016 he joined The Wyatt Family , winning the WWE SmackDown Tag Team Championship with stablemates Bray Wyatt and Luke Harper before turning on Wyatt in February 2017 . Overall , Orton has won 16 total championships in WWE . He is the winner of the 2013 Money in the Bank ladder match , both the 2009 and 2017 Royal Rumble matches , and has headlined multiple pay-per-view events for WWE , including WrestleMania XXV and WrestleMania XXX .",Randy Orton has been unable to move his entire life.,"[{'question': 'How long has Randy Orton been unable to move?', 'answer': 'Randy orton has been unable to move for 13 years.'}, {'question': 'Who has been unable to move his entire life?', 'answer': 'Orton'}, {'question': 'How has Randy Orton been able to move his entire life?', 'answer': ""Randy orton has held the wwe championship nine times -lrb- eighth reign was as wwe world heavyweight champion -rrb- and wwe's world heavyweight championship four times, and was the final holder of the world heavyweight championship, which he unified with the wwe championship to become the wwe world heavyweight champion.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Randy orton has held the wwe championship nine times -lrb- eighth reign was as wwe world heavyweight champion -rrb- and wwe's world heavyweight championship four times, and was the final holder of the world heavyweight championship, which he unified with the wwe championship to become the wwe world heavyweight champion.",How long has Randy Orton been unable to move?,Randy orton has been unable to move for 13 years.,Who has been unable to move his entire life?,Orton,How has Randy Orton been able to move his entire life?,"Randy orton has held the wwe championship nine times -lrb- eighth reign was as wwe world heavyweight champion -rrb- and wwe's world heavyweight championship four times, and was the final holder of the world heavyweight championship, which he unified with the wwe championship to become the wwe world heavyweight champion.",None,None,None,None,None,None,None,None,"Randy orton has held the wwe championship nine times -lrb- eighth reign was as wwe world heavyweight champion -rrb- and wwe's world heavyweight championship four times, and was the final holder of the world heavyweight championship, which he unified with the wwe championship to become the wwe world heavyweight champion."
266,"It was released internationally on October 30 , 2013 , and on November 8 , 2013 , in the United States .",Thor: The Dark World was released in October 2013 in the United States.,"[{'question': 'What is the name of Thor: The Dark World?', 'answer': 'Thor is the dark world.'}, {'question': 'Where was Thor: The Dark World released?', 'answer': 'The dark world was released internationally on october 30, 2013, and on november 8, 2013, in the united states.'}, {'question': 'What is Thor: The Dark World?', 'answer': 'The dark world is the dark world.'}, {'question': 'When was Thor: The Dark World released?', 'answer': 'October 30, 2013'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","The dark world was released internationally on october 30, 2013, and on november 8, 2013, in the united states.",What is the name of Thor: The Dark World?,Thor is the dark world.,Where was Thor: The Dark World released?,"The dark world was released internationally on october 30, 2013, and on november 8, 2013, in the united states.",What is Thor: The Dark World?,The dark world is the dark world.,When was Thor: The Dark World released?,"October 30, 2013",None,None,None,None,None,None,"Thor: The Dark World was released internationally on October 30, 2013 and on november 8, 2013, in the united states."
267,"Simpson attended the University of Southern California -LRB- USC -RRB- , where he played college football for the USC Trojans and won the Heisman Trophy in 1968 . Orenthal James `` O. J. '' Simpson -LRB- born July 9 , 1947 -RRB- , nicknamed The Juice , is a former American football running back , broadcaster , actor , and convicted armed robber and kidnapper . He played professionally in the National Football League -LRB- NFL -RRB- as a running back for 11 seasons , with the Buffalo Bills from 1969 to 1977 and with the San Francisco 49ers from 1978 to 1979 . In 1973 , he became the first NFL player to rush for more than 2,000 yards in a season ; holding the record for the single season yards-per-game average , which stands at 143.1 . He is the only player to ever rush for over 2,000 yards in the 14-game regular season NFL format . Simpson was inducted into the College Football Hall of Fame in 1983 and the Pro Football Hall of Fame in 1985 . After retiring from football , he began new careers in acting and football broadcasting .",O. J. Simpson died before football was invented.,"[{'question': 'Who died before football was invented?', 'answer': 'Orenthal james'}, {'question': 'What was invented before O.J. Simpson?', 'answer': 'The juice'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Orenthal james,Who died before football was invented?,Orenthal james,What was invented before O.J. Simpson?,The juice,None,None,None,None,None,None,None,None,None,None,Orenthal James died before football was invented.
268,"`` My Sweet Lord '' is a song by English musician and former Beatle , George Harrison .",My Sweet Lord is by The Temptations.,"[{'question': 'Who is My Sweet Lord?', 'answer': 'A song by english musician and former beatle, george harrison.'}, {'question': 'What is the name of the Lord of the Temptations?', 'answer': 'My sweet lord'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","A song by english musician and former beatle, george harrison.",Who is My Sweet Lord?,"A song by english musician and former beatle, george harrison.",What is the name of the Lord of the Temptations?,My sweet lord,None,None,None,None,None,None,None,None,None,None,"My Sweet Lord is a song by English musician and former beatle, george harrison."
269,"The first four seasons are available on DVD and Blu-ray in regions 1 , 2 and 4 ; a soundtrack was also released for the first two seasons .",Arrow is available on DVD only in region 3.,"[{'question': 'Is Arrow available on DVD in region 3?', 'answer': 'Yes, arrow is available on dvd in region 3.'}, {'question': 'What region is Arrow only available in?', 'answer': 'Arrow only available in regions 1, 2 and 4.'}, {'question': 'What is the only way to watch Arrow?', 'answer': 'Dvd and blu-ray'}, {'question': 'What is the only arrow on DVD in region 3?', 'answer': 'Blu-ray'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Arrow only available in regions 1, 2 and 4.",Is Arrow available on DVD in region 3?,"Yes, arrow is available on dvd in region 3.",What region is Arrow only available in?,"Arrow only available in regions 1, 2 and 4.",What is the only way to watch Arrow?,Dvd and blu-ray,What is the only arrow on DVD in region 3?,Blu-ray,None,None,None,None,None,None,"Arrow only available in regions 1, 2 and 4."
270,Samuel Henry John Worthington -LRB- born 2 August 1976 -RRB- is a British-born Australian actor .,Sam Worthington was born in 1876.,"[{'question': 'When was Sam Worthington born?', 'answer': '2 august 1976'}, {'question': ""What is Sam Worthington's real name?"", 'answer': 'Samuel henry john worthington'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",2 august 1976,When was Sam Worthington born?,2 august 1976,What is Sam Worthington's real name?,Samuel henry john worthington,None,None,None,None,None,None,None,None,None,None,Sam Worthington was born on 2 august 1976.
271,"The postseason includes twelve teams competing in the MLS Cup Playoffs through November and December , culminating in the championship game , the MLS Cup .",Major League Soccer playoffs does not go through November and December.,"[{'question': 'What is the name of the major league soccer playoffs?', 'answer': 'The major league soccer playoffs are the mls cup.'}, {'question': 'When do the playoffs begin?', 'answer': 'November and december'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The major league soccer playoffs are the mls cup.,What is the name of the major league soccer playoffs?,The major league soccer playoffs are the mls cup.,When do the playoffs begin?,November and december,None,None,None,None,None,None,None,None,None,None,The major league soccer playoffs are the mls cup.
272,"Cyrus starred in the feature film Hannah Montana : The Movie , and began cultivating a more mature image with her EP The Time of Our Lives in 2009 .",Miley Cyrus died before releasing The Time of Our Lives.,"[{'question': ""What was Miley Cyrus's last name?"", 'answer': 'Miley cyrus was last name.'}, {'question': 'Who died before releasing The Time of Our Lives?', 'answer': 'Cyrus'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Cyrus,What was Miley Cyrus's last name?,Miley cyrus was last name.,Who died before releasing The Time of Our Lives?,Cyrus,None,None,None,None,None,None,None,None,None,None,Cyrus died before releasing The Time of Our Lives.
273,"Adrienne Eliza Houghton -LRB- née Bailon ; born October 24 , 1983 -RRB- is an American singer-songwriter , recording artist , actress , dancer and television personality .",Adrienne Bailon is a farmer.,"[{'question': ""What is Adrienne Bailon's occupation?"", 'answer': 'An american singer-songwriter, recording artist, actress, dancer and television personality.'}, {'question': 'What is the name of the farmer?', 'answer': 'Adrienne eliza houghton'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","An american singer-songwriter, recording artist, actress, dancer and television personality.",What is Adrienne Bailon's occupation?,"An american singer-songwriter, recording artist, actress, dancer and television personality.",What is the name of the farmer?,Adrienne eliza houghton,None,None,None,None,None,None,None,None,None,None,"Adrienne Bailon is an american singer-songwriter, recording artist, actress, dancer and television personality."
274,Apocalypse Now was released to universal acclaim .,Apocalypse Now was never released in theaters.,"[{'question': 'Where was Apocalypse Now never released?', 'answer': 'Apocalypse now was never released.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Apocalypse now was never released.,Where was Apocalypse Now never released?,Apocalypse now was never released.,None,None,None,None,None,None,None,None,None,None,None,None,Apocalypse Now was never released.
